Comment-Id,Post-id,Posting-User-Id,Likes,Commenting-User-Id, Comment
113,27,4,128,6,Some Random Commen with Id 113
114,28,6,124,7,Some Random Commen with Id 114
115,28,6,186,4,Some Random Commen with Id 115
116,28,6,39,1,Some Random Commen with Id 116
117,29,1,3,1,Some Random Commen with Id 117
118,29,1,190,2,Some Random Commen with Id 118
119,29,1,57,6,Some Random Commen with Id 119
120,29,1,42,3,Some Random Commen with Id 120
121,29,1,126,1,Some Random Commen with Id 121
122,29,1,168,6,Some Random Commen with Id 122
123,29,1,180,6,Some Random Commen with Id 123
124,30,2,106,5,Some Random Commen with Id 124
125,30,2,155,6,Some Random Commen with Id 125
126,30,2,198,2,Some Random Commen with Id 126
127,30,2,133,7,Some Random Commen with Id 127
128,32,4,158,3,Some Random Commen with Id 128
129,32,4,16,2,Some Random Commen with Id 129
130,34,5,62,3,Some Random Commen with Id 130
131,35,0,164,3,Some Random Commen with Id 131
132,35,0,33,0,Some Random Commen with Id 132
133,35,0,67,3,Some Random Commen with Id 133
134,35,0,153,2,Some Random Commen with Id 134
135,35,0,23,6,Some Random Commen with Id 135
136,35,0,71,9,Some Random Commen with Id 136
137,35,0,35,0,Some Random Commen with Id 137
138,35,0,16,8,Some Random Commen with Id 138
139,35,0,91,2,Some Random Commen with Id 139
140,36,8,37,3,Some Random Commen with Id 140
141,36,8,119,8,Some Random Commen with Id 141
142,36,8,104,1,Some Random Commen with Id 142
143,36,8,166,7,Some Random Commen with Id 143
144,36,8,124,6,Some Random Commen with Id 144
145,36,8,64,1,Some Random Commen with Id 145
146,37,1,9,2,Some Random Commen with Id 146
147,37,1,68,4,Some Random Commen with Id 147
148,37,1,37,7,Some Random Commen with Id 148
149,38,4,42,6,Some Random Commen with Id 149
150,38,4,131,5,Some Random Commen with Id 150
151,38,4,146,0,Some Random Commen with Id 151
152,38,4,8,2,Some Random Commen with Id 152
153,38,4,55,8,Some Random Commen with Id 153
154,39,7,143,7,Some Random Commen with Id 154
155,39,7,109,4,Some Random Commen with Id 155
156,39,7,103,9,Some Random Commen with Id 156
157,39,7,183,2,Some Random Commen with Id 157
158,39,7,28,4,Some Random Commen with Id 158
